date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:32:15	9/9	---M--	404	error ('Not%20Found')	text/plain	date:Sun,%2017%20Nov%202024%2009:32:09%20GMT	https://ex-nova.com/robots.txt		(from )
16:32:26	71745/71745	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE	d:/My%20Web%20Sites/https___ex-nova.com_th/ex-nova.com/th/index80be.html	(from )
16:32:28	3105/3105	---MCZ	200	added ('OK')	application/javascript	etag:W/%2266edc253-c21%22	https://ex-nova.com/lp/attribute-client/attribute-client.modern.js	d:/My%20Web%20Sites/https___ex-nova.com_th/ex-nova.com/lp/attribute-client/attribute-client.modern.js	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:37	12047/12047	---M-Z	200	added ('OK')	application/javascript	etag:W/%222f0f-NTR/db51tK19cZjrG+Wrq4XkCVc%22	https://cdn.jsdelivr.net/npm/qr-creator/dist/qr-creator.min.js	d:/My%20Web%20Sites/https___ex-nova.com_th/cdn.jsdelivr.net/npm/qr-creator/dist/qr-creator.min.js	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:41	79743/79743	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://static.cdnroute.io/lp/exnova/svstatic/client/main.3710468729.css	d:/My%20Web%20Sites/https___ex-nova.com_th/static.cdnroute.io/lp/exnova/svstatic/client/main.3710468729.css	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:43	7209/7209	---M-Z	200	added ('OK')	text/css	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://static.cdnroute.io/lp/exnova/svstatic/assets/public/global.css	d:/My%20Web%20Sites/https___ex-nova.com_th/static.cdnroute.io/lp/exnova/svstatic/assets/public/global.css	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:43	219/219	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://static.cdnroute.io/lp/exnova/svstatic/assets/public/favicon-16x16.png	d:/My%20Web%20Sites/https___ex-nova.com_th/static.cdnroute.io/lp/exnova/svstatic/assets/public/favicon-16x16.png	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:44	304/304	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://static.cdnroute.io/lp/exnova/svstatic/assets/public/favicon-32x32.png	d:/My%20Web%20Sites/https___ex-nova.com_th/static.cdnroute.io/lp/exnova/svstatic/assets/public/favicon-32x32.png	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:45	262263/262263	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://static.cdnroute.io/lp/exnova/svstatic/assets/platform/exnova.video_poster-new.png	d:/My%20Web%20Sites/https___ex-nova.com_th/static.cdnroute.io/lp/exnova/svstatic/assets/platform/exnova.video_poster-new.png	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
16:32:46	61437/61437	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202024%2009:58:21%20GMT	https://static.cdnroute.io/lp/exnova/svstatic/assets/features/feat-2.png	d:/My%20Web%20Sites/https___ex-nova.com_th/static.cdnroute.io/lp/exnova/svstatic/assets/features/feat-2.png	(from https://ex-nova.com/th/?aff=38833&afftrack=GAD_PMax_ASIA_TH_TH_Exnova_20802280459__&gad_source=1&gclid=EAIaIQobChMIxs3n1YbjiQMVzhGDAx0VZCJEEAMYAyAAEgJkOfD_BwE)
